method,usagesInQuestionsOnly,usagesInAnswersOnly,usagesInBoth
allocateInstance,0,18,46
arrayBaseOffset,4,13,4
arrayIndexScale,1,7,4
compareAndSwapInt,2,11,0
compareAndSwapLong,1,0,0
compareAndSwapObject,3,2,0
defineClass,1,2,0
ensureClassInitialized,3,1,0
defineAnonymousClass,0,2,2
shouldBeInitialized,0,0,0
fullFence,0,1,0
loadFence,0,0,1
storeFence,0,0,1
getAndAddInt,0,0,0
getAndAddLong,0,0,0
getAndSetInt,0,0,0
getAndSetLong,0,0,0
getAndSetObject,0,0,0
getBoolean,0,0,0
getByte,3,4,2
getChar,2,0,0
getDouble,0,0,0
getFloat,1,0,0
getInt,3,20,4
getLong,4,8,4
getObject,1,2,1
getShort,1,1,0
getBooleanVolatile,0,0,0
getByteVolatile,0,0,0
getCharVolatile,0,0,0
getDoubleVolatile,0,0,0
getFloatVolatile,0,0,0
getIntVolatile,0,1,0
getLongVolatile,0,0,0
getObjectVolatile,1,1,0
getShortVolatile,0,0,0
getUnsafe,6,18,10
monitorEnter,0,1,0
monitorExit,0,1,0
addressSize,1,7,0
allocateMemory,3,14,8
copyMemory,5,14,4
freeMemory,1,6,2
getAddress,1,6,1
pageSize,0,1,0
putAddress,0,5,0
reallocateMemory,0,2,0
setMemory,0,2,0
objectFieldOffset,4,6,0
staticFieldBase,0,0,0
staticFieldOffset,0,2,0
park,0,0,0
unpark,0,0,0
putBoolean,0,0,0
putByte,6,0,0
putChar,1,0,0
putDouble,0,0,0
putFloat,2,0,0
putInt,3,6,1
putLong,3,4,2
putObject,0,1,0
putShort,3,1,0
putOrderedInt,0,1,0
putOrderedLong,1,2,0
putOrderedObject,0,1,0
putBooleanVolatile,0,0,0
putByteVolatile,0,1,0
putCharVolatile,0,0,0
putDoubleVolatile,0,0,0
putFloatVolatile,0,0,0
putIntVolatile,0,1,0
putLongVolatile,0,1,0
putObjectVolatile,1,3,0
putShortVolatile,0,0,0
throwException,3,7,0
